timestamp,close,high,low,trade_count,open,volume,vwap
2021-05-27 04:00:00+00:00,391.62,392.9,391.44,8606,392.41,959890,392.03
2021-05-28 04:00:00+00:00,392.33,393.41,392.06,7310,393.2,635828,392.84
2021-06-01 04:00:00+00:00,391.91,394.76,391.52,6269,394.66,680862,392.64
2021-06-02 04:00:00+00:00,392.55,393.36,391.6,6446,392.5,628822,392.37
2021-06-03 04:00:00+00:00,391.1,392.24,388.82,6307,390.43,771761,390.98
2021-06-04 04:00:00+00:00,394.67,394.97,392.92,10189,392.97,910318,394.23
2021-06-07 04:00:00+00:00,394.32,394.83,393.37,9535,394.71,991984,393.96
2021-06-08 04:00:00+00:00,394.36,395.23,392.65,5708,395.22,625795,394.28
2021-06-09 04:00:00+00:00,393.73,395.28,393.6,4919,395.22,472970,394.51
2021-06-10 04:00:00+00:00,395.56,396.57,393.78,5527,395.03,588662,395.61
2021-06-11 04:00:00+00:00,396.34,396.36,394.91,5009,396.17,527131,395.61
2021-06-14 04:00:00+00:00,397.19,397.19,395.15,6329,396.39,646111,395.73
2021-06-15 04:00:00+00:00,396.46,397.34,395.58,6146,397.34,570633,396.33
2021-06-16 04:00:00+00:00,394.16,396.76,392.22,7025,396.64,855307,394.44
2021-06-17 04:00:00+00:00,394.14,395.05,391.64,10067,393.78,1092378,394.05
2021-06-18 04:00:00+00:00,388.81,391.49,388.6,11986,390.79,1353018,390.28
2021-06-21 04:00:00+00:00,394.25,394.52,389.75,10379,390.56,1152420,393.27
2021-06-22 04:00:00+00:00,396.36,397.25,393.69,7159,394.34,897093,395.83
2021-06-23 04:00:00+00:00,396.01,397.31,395.92,5632,396.52,771762,396.6
2021-06-24 04:00:00+00:00,398.27,398.73,397.87,6833,398.1,843012,398.35
2021-06-25 04:00:00+00:00,399.73,400.17,398.77,8939,399.06,1160440,399.45
2021-06-28 04:00:00+00:00,400.53,400.69,399.05,7440,400.25,781623,399.89
2021-06-29 04:00:00+00:00,400.74,401.55,400.24,6190,400.97,727546,400.84
2021-06-30 04:00:00+00:00,401.09,401.68,400.29,7693,400.29,848270,401.01
2021-07-01 04:00:00+00:00,403.34,403.47,401.8,9231,401.85,1015595,402.81
2021-07-02 04:00:00+00:00,406.48,406.74,404.15,7747,404.46,860976,405.55
2021-07-06 04:00:00+00:00,405.58,406.66,402.91,7621,406.52,820834,404.82
